cell_id,ch1,ch2,ch1+ch2
9,1.0,1.0,2.0
11,2.0,2.0,0.0
12,0.0,1.0,1.0
13,3.0,0.0,0.0
15,1.0,1.0,1.0
16,3.0,1.0,0.0
17,0.0,1.0,1.0
19,1.0,1.0,0.0
21,3.0,2.0,0.0
23,1.0,1.0,1.0
24,1.0,0.0,1.0
25,3.0,1.0,0.0
26,2.0,2.0,0.0
27,2.0,1.0,0.0
30,2.0,2.0,0.0
32,2.0,2.0,0.0
33,0.0,1.0,2.0
34,2.0,0.0,0.0
35,1.0,0.0,3.0
38,1.0,1.0,1.0
40,1.0,0.0,1.0
41,2.0,1.0,1.0
43,3.0,2.0,0.0
45,1.0,2.0,0.0
48,2.0,1.0,0.0
49,0.0,2.0,0.0
51,3.0,0.0,1.0
52,2.0,2.0,0.0
54,2.0,2.0,0.0
56,2.0,0.0,1.0
57,2.0,2.0,0.0
58,1.0,1.0,0.0
59,0.0,0.0,2.0
60,2.0,2.0,0.0
61,0.0,1.0,1.0
64,1.0,3.0,0.0
65,1.0,0.0,1.0
67,1.0,1.0,2.0
68,0.0,2.0,0.0
69,1.0,1.0,1.0
70,1.0,1.0,2.0
71,1.0,1.0,1.0
72,1.0,0.0,1.0
73,2.0,2.0,0.0
75,2.0,1.0,2.0
76,0.0,1.0,1.0
79,1.0,0.0,1.0
80,2.0,1.0,0.0
84,0.0,2.0,0.0
85,0.0,2.0,1.0
87,1.0,2.0,0.0
88,2.0,0.0,0.0
90,2.0,1.0,1.0
94,1.0,2.0,0.0
95,1.0,0.0,2.0
96,0.0,2.0,0.0
97,1.0,0.0,1.0
98,3.0,2.0,0.0
99,2.0,0.0,1.0
100,1.0,1.0,0.0
102,1.0,0.0,1.0
103,1.0,2.0,0.0
104,2.0,0.0,0.0
105,1.0,0.0,2.0
106,2.0,2.0,0.0
108,2.0,0.0,0.0
110,1.0,2.0,0.0
111,1.0,1.0,2.0
112,0.0,0.0,3.0
113,0.0,1.0,1.0
115,1.0,0.0,1.0
116,1.0,1.0,0.0
117,2.0,1.0,1.0
118,2.0,1.0,0.0
120,1.0,2.0,0.0
121,0.0,3.0,2.0
124,2.0,3.0,0.0
125,1.0,0.0,1.0
126,1.0,1.0,1.0
127,2.0,0.0,1.0
128,1.0,1.0,2.0
129,0.0,0.0,2.0
130,2.0,3.0,0.0
131,2.0,2.0,0.0
132,1.0,0.0,2.0
133,1.0,0.0,2.0
135,2.0,1.0,0.0
136,2.0,2.0,0.0
137,0.0,0.0,2.0
139,1.0,1.0,0.0
140,0.0,0.0,2.0
141,0.0,0.0,2.0
143,1.0,1.0,1.0
145,0.0,1.0,2.0
146,2.0,2.0,0.0
147,1.0,1.0,2.0
149,1.0,1.0,1.0
150,0.0,0.0,2.0
152,2.0,1.0,1.0
153,2.0,3.0,0.0
154,1.0,1.0,1.0
155,1.0,0.0,2.0
156,1.0,1.0,1.0
157,0.0,1.0,2.0
158,1.0,1.0,2.0
159,0.0,0.0,2.0
160,1.0,1.0,2.0
161,0.0,2.0,0.0
162,0.0,0.0,3.0
164,1.0,0.0,1.0
165,2.0,2.0,0.0
166,2.0,2.0,0.0
167,0.0,0.0,3.0
168,0.0,0.0,2.0
169,1.0,1.0,1.0
170,1.0,1.0,1.0
171,2.0,2.0,0.0
172,0.0,2.0,0.0
173,1.0,1.0,0.0
175,2.0,1.0,1.0
176,2.0,0.0,1.0
177,2.0,1.0,0.0
179,2.0,2.0,0.0
182,1.0,2.0,1.0
183,1.0,1.0,0.0
184,1.0,2.0,0.0
185,1.0,0.0,2.0
186,2.0,2.0,0.0
188,0.0,1.0,2.0
189,2.0,2.0,0.0
190,2.0,2.0,0.0
191,2.0,2.0,0.0
192,0.0,1.0,2.0
193,1.0,0.0,1.0
194,2.0,2.0,0.0
197,2.0,2.0,0.0
198,1.0,0.0,2.0
199,0.0,2.0,2.0
200,2.0,2.0,0.0
202,1.0,2.0,1.0
205,0.0,3.0,1.0
206,1.0,1.0,2.0
207,1.0,0.0,2.0
213,1.0,1.0,2.0
214,1.0,0.0,2.0
215,1.0,1.0,1.0
216,1.0,1.0,1.0
217,0.0,0.0,2.0
225,1.0,0.0,1.0
226,2.0,2.0,0.0
227,2.0,2.0,0.0
230,1.0,1.0,0.0
231,0.0,0.0,3.0
234,0.0,3.0,0.0
235,1.0,1.0,1.0
237,1.0,1.0,0.0
238,0.0,1.0,2.0
242,0.0,1.0,2.0
244,0.0,0.0,2.0
245,2.0,2.0,0.0
246,1.0,1.0,0.0
247,2.0,2.0,0.0
