cell_id,ch1,ch2,ch1+ch2
6,1.0,1.0,2.0
8,0.0,1.0,1.0
10,1.0,1.0,1.0
11,0.0,1.0,1.0
12,1.0,0.0,1.0
15,3.0,2.0,0.0
17,1.0,0.0,1.0
18,3.0,1.0,0.0
19,2.0,2.0,0.0
22,2.0,2.0,0.0
23,2.0,2.0,0.0
24,0.0,0.0,2.0
27,1.0,2.0,0.0
28,1.0,2.0,0.0
32,2.0,2.0,0.0
34,1.0,2.0,0.0
35,2.0,2.0,0.0
36,3.0,1.0,0.0
37,0.0,1.0,1.0
38,1.0,0.0,1.0
39,0.0,0.0,3.0
41,0.0,0.0,2.0
43,2.0,1.0,2.0
44,1.0,0.0,1.0
45,2.0,1.0,0.0
46,0.0,2.0,0.0
47,0.0,2.0,0.0
53,1.0,2.0,0.0
55,3.0,2.0,0.0
56,1.0,0.0,2.0
57,0.0,1.0,1.0
58,2.0,1.0,1.0
59,2.0,1.0,0.0
61,3.0,0.0,0.0
62,0.0,0.0,2.0
65,0.0,0.0,3.0
66,0.0,0.0,2.0
67,0.0,1.0,2.0
68,1.0,1.0,2.0
69,0.0,0.0,3.0
70,3.0,0.0,0.0
72,1.0,2.0,0.0
73,2.0,0.0,0.0
76,2.0,2.0,0.0
78,2.0,2.0,0.0
80,2.0,1.0,1.0
81,1.0,1.0,0.0
83,1.0,2.0,1.0
84,1.0,1.0,0.0
85,1.0,0.0,2.0
86,2.0,2.0,0.0
87,2.0,2.0,0.0
88,1.0,0.0,2.0
90,2.0,2.0,0.0
91,1.0,1.0,2.0
93,1.0,0.0,2.0
95,0.0,0.0,2.0
97,1.0,0.0,1.0
98,1.0,1.0,0.0
100,0.0,2.0,0.0
104,3.0,1.0,0.0
105,1.0,1.0,0.0
