cell_id,ch1,ch1+ch2,ch2
3,1.0,2.0,0.0
4,1.0,1.0,1.0
6,2.0,0.0,2.0
7,1.0,1.0,1.0
8,0.0,2.0,1.0
9,1.0,1.0,0.0
11,2.0,0.0,2.0
12,2.0,0.0,1.0
13,2.0,0.0,2.0
14,2.0,1.0,1.0
15,2.0,0.0,1.0
16,1.0,0.0,2.0
19,2.0,0.0,2.0
20,0.0,3.0,0.0
21,1.0,2.0,0.0
22,1.0,0.0,2.0
23,2.0,0.0,2.0
24,0.0,2.0,0.0
25,2.0,0.0,2.0
27,2.0,0.0,0.0
28,2.0,1.0,1.0
29,1.0,1.0,2.0
30,0.0,2.0,0.0
32,0.0,2.0,1.0
34,0.0,1.0,1.0
35,2.0,0.0,1.0
36,2.0,0.0,2.0
37,2.0,0.0,2.0
38,1.0,0.0,1.0
39,1.0,1.0,1.0
40,1.0,1.0,2.0
42,0.0,1.0,1.0
43,2.0,0.0,2.0
48,2.0,0.0,1.0
50,0.0,0.0,2.0
51,1.0,1.0,1.0
55,2.0,0.0,2.0
57,2.0,1.0,0.0
58,2.0,0.0,0.0
59,1.0,2.0,1.0
62,1.0,1.0,1.0
65,1.0,1.0,1.0
66,1.0,1.0,1.0
67,1.0,1.0,1.0
68,1.0,3.0,0.0
70,2.0,0.0,2.0
71,2.0,0.0,2.0
73,0.0,0.0,2.0
74,2.0,0.0,2.0
76,2.0,0.0,2.0
77,2.0,0.0,2.0
78,2.0,0.0,2.0
79,1.0,0.0,2.0
80,2.0,0.0,2.0
81,3.0,0.0,1.0
82,2.0,0.0,2.0
83,0.0,1.0,1.0
84,0.0,0.0,2.0
85,0.0,2.0,0.0
87,2.0,0.0,3.0
88,1.0,0.0,2.0
90,1.0,1.0,0.0
91,2.0,0.0,1.0
92,2.0,0.0,2.0
95,2.0,0.0,2.0
96,2.0,2.0,0.0
97,0.0,1.0,1.0
98,3.0,0.0,2.0
99,2.0,0.0,2.0
100,0.0,2.0,0.0
101,2.0,0.0,2.0
102,0.0,3.0,0.0
105,2.0,0.0,1.0
108,2.0,0.0,2.0
109,2.0,1.0,1.0
110,2.0,0.0,1.0
111,2.0,1.0,2.0
112,0.0,3.0,0.0
113,2.0,0.0,1.0
114,0.0,1.0,2.0
115,1.0,0.0,2.0
117,0.0,2.0,1.0
118,2.0,0.0,2.0
120,3.0,0.0,1.0
121,2.0,0.0,2.0
