cell_id,ch1+ch2,ch1,ch2
9,3.0,0.0,0.0
10,1.0,1.0,0.0
11,2.0,1.0,2.0
12,1.0,1.0,1.0
14,0.0,1.0,1.0
15,0.0,2.0,2.0
16,2.0,0.0,1.0
17,0.0,2.0,2.0
18,2.0,1.0,1.0
19,0.0,2.0,2.0
20,2.0,0.0,0.0
21,2.0,1.0,1.0
23,0.0,3.0,1.0
24,0.0,2.0,1.0
25,1.0,1.0,1.0
26,0.0,2.0,2.0
27,0.0,2.0,2.0
28,0.0,2.0,1.0
29,0.0,1.0,1.0
30,2.0,0.0,1.0
33,1.0,1.0,1.0
34,0.0,2.0,2.0
35,2.0,1.0,1.0
36,2.0,0.0,0.0
38,0.0,2.0,2.0
40,0.0,1.0,2.0
41,2.0,1.0,2.0
45,1.0,1.0,1.0
48,0.0,1.0,1.0
49,0.0,1.0,1.0
50,0.0,2.0,1.0
51,1.0,0.0,1.0
53,2.0,1.0,0.0
54,0.0,2.0,2.0
55,2.0,0.0,0.0
56,0.0,2.0,2.0
57,1.0,0.0,1.0
58,1.0,1.0,0.0
59,2.0,0.0,1.0
60,0.0,1.0,2.0
61,0.0,2.0,2.0
62,2.0,0.0,0.0
63,1.0,1.0,1.0
64,1.0,2.0,1.0
65,0.0,2.0,2.0
66,0.0,2.0,2.0
67,1.0,1.0,1.0
69,3.0,0.0,0.0
70,2.0,0.0,1.0
71,0.0,1.0,2.0
72,1.0,2.0,2.0
74,0.0,3.0,2.0
76,2.0,0.0,0.0
77,0.0,2.0,2.0
78,1.0,1.0,1.0
79,2.0,0.0,0.0
80,2.0,1.0,1.0
81,2.0,1.0,0.0
83,0.0,2.0,2.0
85,2.0,0.0,0.0
87,1.0,0.0,1.0
88,2.0,1.0,1.0
89,1.0,1.0,1.0
90,0.0,1.0,2.0
92,3.0,0.0,0.0
94,0.0,1.0,2.0
96,0.0,2.0,2.0
97,0.0,2.0,1.0
98,0.0,2.0,2.0
99,2.0,0.0,1.0
100,3.0,0.0,0.0
