cell_id,ch1,ch1+ch2,ch2
15,1.0,3.0,0.0
16,1.0,1.0,1.0
17,0.0,0.0,2.0
20,1.0,2.0,1.0
21,0.0,2.0,0.0
22,2.0,1.0,1.0
23,0.0,2.0,0.0
24,2.0,0.0,1.0
25,1.0,3.0,0.0
26,2.0,1.0,2.0
27,0.0,2.0,0.0
28,1.0,1.0,2.0
31,0.0,2.0,0.0
32,0.0,2.0,0.0
33,1.0,1.0,0.0
34,0.0,2.0,0.0
35,0.0,2.0,0.0
36,1.0,0.0,2.0
37,1.0,2.0,0.0
39,1.0,1.0,1.0
40,0.0,2.0,0.0
41,0.0,3.0,0.0
43,1.0,1.0,1.0
44,1.0,0.0,1.0
45,1.0,0.0,1.0
46,1.0,0.0,1.0
48,0.0,2.0,1.0
50,3.0,0.0,0.0
53,1.0,0.0,2.0
55,1.0,1.0,1.0
58,3.0,0.0,2.0
59,0.0,1.0,3.0
60,1.0,0.0,2.0
61,0.0,2.0,0.0
62,0.0,3.0,0.0
63,0.0,2.0,0.0
69,2.0,1.0,0.0
70,0.0,2.0,0.0
71,2.0,2.0,1.0
72,0.0,2.0,0.0
73,1.0,1.0,1.0
75,3.0,1.0,1.0
78,0.0,3.0,0.0
79,1.0,2.0,1.0
80,0.0,2.0,1.0
81,0.0,2.0,1.0
83,1.0,0.0,2.0
86,2.0,2.0,1.0
87,0.0,2.0,0.0
88,1.0,1.0,1.0
89,2.0,2.0,1.0
90,0.0,0.0,2.0
91,1.0,2.0,1.0
94,1.0,1.0,2.0
95,0.0,2.0,0.0
97,1.0,1.0,1.0
98,1.0,1.0,1.0
99,3.0,0.0,2.0
100,0.0,2.0,0.0
101,0.0,2.0,0.0
103,0.0,1.0,1.0
104,0.0,3.0,0.0
105,0.0,3.0,1.0
108,1.0,2.0,2.0
110,1.0,1.0,0.0
112,0.0,2.0,0.0
113,1.0,1.0,1.0
114,1.0,2.0,0.0
115,0.0,2.0,0.0
116,1.0,2.0,1.0
119,1.0,1.0,1.0
121,1.0,1.0,0.0
123,0.0,2.0,0.0
124,3.0,0.0,1.0
126,0.0,2.0,0.0
128,2.0,1.0,1.0
130,0.0,3.0,0.0
131,0.0,3.0,1.0
133,0.0,3.0,0.0
134,0.0,2.0,0.0
135,1.0,2.0,2.0
136,1.0,2.0,1.0
138,0.0,2.0,0.0
141,2.0,1.0,0.0
143,2.0,0.0,1.0
144,1.0,2.0,1.0
145,0.0,2.0,0.0
147,0.0,2.0,0.0
148,0.0,2.0,0.0
149,0.0,1.0,1.0
150,0.0,0.0,3.0
151,1.0,2.0,0.0
152,0.0,1.0,3.0
153,1.0,1.0,1.0
155,2.0,1.0,1.0
156,2.0,1.0,1.0
157,1.0,0.0,2.0
158,2.0,0.0,0.0
159,2.0,1.0,2.0
166,0.0,3.0,0.0
168,1.0,2.0,1.0
170,0.0,3.0,0.0
171,1.0,1.0,2.0
172,0.0,2.0,1.0
173,1.0,2.0,1.0
175,2.0,1.0,2.0
176,0.0,0.0,2.0
177,1.0,1.0,0.0
178,1.0,2.0,1.0
181,1.0,2.0,1.0
183,2.0,2.0,0.0
184,1.0,1.0,1.0
186,1.0,2.0,1.0
187,2.0,0.0,2.0
188,1.0,2.0,1.0
189,2.0,0.0,2.0
191,1.0,2.0,1.0
192,3.0,2.0,0.0
193,1.0,2.0,0.0
194,1.0,1.0,1.0
195,1.0,2.0,2.0
198,1.0,2.0,1.0
201,1.0,2.0,1.0
202,1.0,2.0,1.0
203,1.0,2.0,1.0
205,0.0,0.0,2.0
207,0.0,1.0,2.0
211,1.0,1.0,2.0
212,1.0,2.0,0.0
213,0.0,2.0,0.0
214,0.0,3.0,0.0
218,1.0,2.0,0.0
219,0.0,3.0,0.0
222,0.0,3.0,0.0
224,2.0,0.0,1.0
226,1.0,0.0,2.0
230,1.0,0.0,2.0
231,0.0,1.0,1.0
233,0.0,3.0,1.0
235,1.0,2.0,0.0
236,1.0,2.0,0.0
238,0.0,2.0,0.0
240,0.0,3.0,0.0
241,0.0,3.0,0.0
242,1.0,0.0,3.0
