cell_id,ch1,ch2,ch1+ch2
cell-0,2,2,2.0
cell-1,4,3,2.0
cell-2,2,3,0.0
cell-3,3,2,0.0
cell-4,2,4,2.0
cell-5,2,2,2.0
cell-6,2,4,2.0
cell-7,3,2,1.0
cell-8,3,3,2.0
cell-9,3,5,2.0
cell-10,3,3,0.0
cell-11,2,3,2.0
cell-12,1,3,2.0
cell-13,2,4,1.0
cell-14,3,4,2.0
cell-15,2,3,2.0
cell-16,3,3,1.0
cell-17,3,1,2.0
cell-18,2,3,2.0
cell-19,2,3,3.0
cell-20,2,4,3.0
cell-21,2,4,2.0
cell-22,3,3,2.0
cell-23,2,4,3.0
cell-24,2,4,2.0
cell-25,2,0,0.0
cell-26,3,3,2.0
cell-27,1,3,1.0
cell-28,3,3,1.0
cell-29,3,3,1.0
cell-30,3,3,1.0
cell-31,2,4,2.0
cell-32,3,5,4.0
cell-33,3,4,1.0
cell-34,2,3,2.0
cell-35,3,3,0.0
cell-36,2,2,2.0
cell-37,2,4,2.0
cell-38,2,3,1.0
cell-39,3,5,2.0
cell-40,3,3,2.0
cell-41,2,3,2.0
cell-42,2,3,2.0
cell-43,2,4,1.0
cell-44,2,3,2.0
cell-45,3,2,1.0
cell-46,4,3,1.0
cell-47,3,3,2.0
cell-48,3,4,2.0
cell-49,2,3,2.0
cell-50,5,3,1.0
cell-51,2,3,2.0
cell-52,3,3,1.0
cell-53,3,3,1.0
cell-54,1,0,0.0
cell-55,2,4,2.0
cell-56,2,2,2.0
cell-57,3,2,2.0
cell-58,3,3,1.0
cell-59,2,4,2.0
cell-60,2,3,2.0
cell-61,2,4,2.0
cell-62,2,3,2.0
cell-63,3,3,1.0
cell-64,2,3,2.0
cell-65,4,2,2.0
cell-66,3,3,1.0
cell-67,3,3,1.0
cell-68,3,3,0.0
cell-69,1,2,2.0
cell-70,3,2,1.0
cell-71,3,2,1.0
cell-72,2,1,1.0
cell-73,2,4,2.0
cell-74,2,2,1.0
cell-75,2,3,2.0
cell-76,3,5,2.0
cell-77,1,3,2.0
cell-78,6,5,0.0
cell-79,2,4,2.0
cell-80,2,4,2.0
cell-81,2,3,2.0
cell-82,2,4,2.0
cell-83,2,3,2.0
cell-84,2,3,2.0
cell-85,3,2,1.0
cell-86,3,3,1.0
cell-87,2,4,2.0
cell-88,3,3,2.0
cell-89,2,3,2.0
cell-90,4,2,1.0
cell-91,2,2,1.0
cell-92,3,4,0.0
cell-93,2,5,2.0
cell-94,1,4,3.0
cell-95,1,2,3.0
cell-96,2,2,2.0
cell-97,3,3,2.0
cell-98,2,2,0.0
cell-99,2,4,2.0
cell-100,3,3,1.0
cell-101,2,3,2.0
cell-102,2,3,2.0
cell-103,2,3,2.0
cell-104,2,3,2.0
cell-105,2,4,3.0
cell-106,2,3,1.0
cell-107,3,2,1.0
cell-108,2,3,0.0
cell-109,3,3,1.0
cell-110,3,3,2.0
cell-111,2,3,1.0
cell-112,2,3,2.0
cell-113,5,2,1.0
cell-114,5,4,1.0
cell-115,2,4,2.0
cell-116,3,4,2.0
cell-117,2,2,2.0
cell-118,2,4,2.0
cell-119,3,4,1.0
cell-120,3,3,1.0
cell-121,2,4,2.0
cell-122,2,3,2.0
cell-123,2,3,2.0
cell-124,1,3,3.0
cell-125,2,2,2.0
cell-126,3,2,2.0
cell-127,1,3,0.0
cell-128,4,7,4.0
cell-129,1,4,3.0
cell-130,2,3,3.0
cell-131,4,4,1.0
cell-132,2,3,2.0
cell-133,2,3,0.0
cell-134,4,2,1.0
cell-135,4,3,1.0
cell-136,3,3,1.0
cell-137,2,4,2.0
cell-138,2,4,2.0
cell-139,2,4,2.0
cell-140,2,3,2.0
cell-141,2,2,2.0
cell-142,2,3,2.0
cell-143,3,2,1.0
cell-144,2,4,2.0
cell-145,4,3,1.0
cell-146,2,2,2.0
cell-147,3,3,1.0
cell-148,4,1,1.0
cell-149,2,0,0.0
cell-150,5,3,1.0
cell-151,3,4,2.0
cell-152,4,3,1.0
cell-153,2,5,2.0
cell-154,3,2,1.0
cell-155,3,4,1.0
cell-156,3,4,2.0
cell-157,2,2,2.0
cell-158,2,1,2.0
cell-159,2,3,2.0
cell-160,2,2,2.0
cell-161,3,5,2.0
