cell_id,ch1
cell-0,2
cell-1,1
cell-2,3
cell-3,2
cell-4,2
cell-5,1
cell-6,2
cell-7,3
cell-8,2
cell-9,3
cell-10,3
cell-11,2
cell-12,2
cell-13,2
cell-14,3
cell-15,2
cell-16,1
cell-17,3
cell-18,3
cell-19,3
cell-20,2
cell-21,3
cell-22,2
cell-23,2
cell-24,3
cell-25,4
cell-26,3
cell-27,4
cell-28,3
cell-29,2
cell-30,2
cell-31,2
cell-32,3
cell-33,3
cell-34,2
cell-35,3
cell-36,3
cell-37,3
cell-38,2
cell-39,2
cell-40,2
cell-41,3
cell-42,2
cell-43,2
cell-44,1
cell-45,5
cell-46,2
cell-47,1
cell-48,3
cell-49,14
cell-50,2
cell-51,3
cell-52,2
cell-53,1
cell-54,2
cell-55,3
cell-56,2
cell-57,2
cell-58,2
cell-59,2
cell-60,2
cell-61,2
cell-62,3
cell-63,3
cell-64,4
cell-65,0
cell-66,2
cell-67,3
cell-68,4
cell-69,1
cell-70,2
cell-71,3
cell-72,2
cell-73,3
cell-74,2
cell-75,2
cell-76,1
cell-77,1
cell-78,5
cell-79,2
cell-80,3
cell-81,2
cell-82,2
cell-83,3
cell-84,2
cell-85,2
cell-86,1
cell-87,2
cell-88,2
cell-89,3
cell-90,3
cell-91,2
cell-92,2
cell-93,2
cell-94,2
cell-95,2
cell-96,3
cell-97,2
cell-98,4
cell-99,2
cell-100,1
cell-101,1
cell-102,4
cell-103,2
cell-104,4
cell-105,4
cell-106,2
cell-107,3
cell-108,2
cell-109,2
cell-110,2
cell-111,2
cell-112,3
cell-113,2
cell-114,2
cell-115,3
cell-116,3
cell-117,2
cell-118,2
cell-119,3
cell-120,3
cell-121,3
cell-122,2
cell-123,2
cell-124,3
cell-125,3
cell-126,5
cell-127,2
cell-128,3
cell-129,1
cell-130,2
cell-131,2
cell-132,2
cell-133,4
cell-134,2
cell-135,2
cell-136,2
cell-137,2
cell-138,2
