label,cell position,ch1,ch2,ch1+ch2
3,"42.96, 144.99",3,3,0
4,"20.50, 1123.39",1,1,0
5,"36.49, 2960.14",1,3,0
6,"15.25, 3052.59",0,0,0
8,"28.16, 3537.22",3,3,0
9,"35.60, 3606.11",4,5,0
10,"49.12, 640.83",2,2,1
13,"42.83, 3389.56",1,3,0
14,"51.04, 3942.15",1,2,0
15,"65.22, 1607.92",2,2,0
16,"61.60, 4050.15",2,2,0
17,"65.97, 3499.99",1,3,0
18,"89.01, 362.96",4,3,0
19,"68.81, 2699.22",2,2,0
20,"91.56, 3644.81",1,2,1
21,"91.45, 3567.62",1,2,0
22,"116.35, 833.17",2,2,0
24,"100.12, 4023.34",0,0,0
25,"113.54, 4070.08",1,0,0
26,"126.86, 2299.33",1,2,0
27,"139.03, 2584.83",0,2,1
29,"152.50, 2467.97",2,2,0
30,"158.53, 4035.48",1,2,0
31,"169.13, 570.94",2,2,0
32,"184.62, 1954.73",1,2,0
33,"178.17, 4085.47",2,1,0
34,"190.71, 654.08",1,1,0
35,"200.36, 3087.95",0,3,0
36,"213.80, 1535.30",1,2,0
37,"226.72, 1191.79",0,1,1
38,"212.64, 546.91",1,2,1
39,"221.97, 1140.49",3,3,0
40,"226.39, 2014.54",1,7,0
41,"230.23, 758.20",1,2,0
42,"234.80, 640.15",3,4,0
43,"240.81, 2393.47",2,7,0
44,"250.51, 707.20",1,2,0
45,"234.35, 821.53",2,2,0
46,"242.84, 401.67",2,1,0
47,"256.45, 587.52",5,2,0
48,"263.51, 883.22",3,4,0
50,"276.64, 2216.26",1,4,0
51,"291.26, 2994.75",1,2,0
52,"302.04, 990.97",2,3,0
53,"286.47, 2588.59",1,1,0
54,"310.93, 3103.36",1,1,0
55,"302.04, 838.70",0,0,0
56,"329.32, 777.51",2,3,0
57,"326.04, 374.42",1,4,0
58,"331.42, 917.48",2,3,0
59,"337.24, 2960.67",1,2,0
60,"351.83, 858.62",1,8,1
61,"351.11, 2400.81",1,4,0
62,"350.92, 444.48",2,2,0
63,"356.46, 2316.19",1,2,0
64,"368.76, 943.35",2,3,0
65,"362.94, 2657.28",1,2,0
66,"376.57, 32.04",0,1,0
67,"409.11, 1043.16",1,2,0
68,"399.07, 3028.41",1,2,0
71,"436.16, 534.15",0,2,0
72,"418.86, 2103.17",1,1,1
80,"483.32, 2701.65",1,2,0
81,"499.28, 101.56",1,2,0
82,"494.20, 3503.77",3,2,1
83,"506.98, 3443.36",2,2,0
84,"526.92, 1354.49",2,2,0
85,"537.55, 384.41",0,1,0
86,"555.01, 2969.05",1,2,0
87,"545.96, 3482.89",2,1,0
88,"561.97, 507.82",1,2,0
89,"603.53, 454.49",0,2,0
90,"613.97, 3602.80",1,2,0
91,"603.88, 2589.22",1,0,0
92,"622.38, 1809.31",2,2,0
94,"638.69, 733.88",1,2,0
96,"677.70, 1677.89",6,4,0
99,"675.37, 2503.43",2,2,0
101,"722.56, 772.99",1,0,0
102,"675.16, 3883.32",2,2,0
103,"689.03, 944.33",3,2,0
104,"688.99, 2713.44",0,2,1
108,"715.39, 3532.75",2,2,0
118,"740.18, 3656.42",0,2,1
119,"746.86, 1558.81",2,3,0
120,"753.41, 311.57",1,3,0
121,"747.07, 3601.10",2,3,0
122,"772.75, 249.29",0,0,0
123,"785.24, 3705.91",2,3,0
124,"785.20, 1574.09",3,1,0
125,"814.55, 2258.12",3,4,1
126,"802.70, 2345.52",1,2,0
127,"822.45, 362.95",1,3,0
128,"825.68, 1750.01",6,13,1
129,"829.75, 1570.31",2,2,0
130,"839.19, 3631.51",2,2,0
131,"845.30, 3411.52",1,2,0
132,"834.07, 1626.83",3,2,1
133,"857.73, 3891.93",1,2,0
134,"854.47, 3752.65",0,1,0
135,"904.71, 32.33",1,1,0
136,"889.47, 1548.31",1,1,0
137,"898.02, 1778.97",1,2,0
138,"905.85, 3973.42",1,2,0
139,"893.45, 3593.49",0,0,0
140,"902.87, 1515.63",0,0,0
141,"910.46, 1867.00",1,2,0
142,"924.77, 114.13",2,2,0
143,"915.97, 1476.27",0,0,0
144,"958.88, 3211.27",8,7,1
145,"950.35, 2468.60",1,2,0
146,"963.37, 1388.03",2,1,0
147,"957.94, 1462.48",1,3,0
148,"963.95, 1557.93",1,2,0
149,"988.48, 495.79",1,2,0
150,"960.13, 1015.05",0,2,0
152,"996.23, 3553.17",2,2,0
153,"984.16, 939.05",0,0,0
154,"1004.04, 1929.45",1,1,0
155,"1016.70, 2003.35",1,4,0
156,"1031.03, 1485.01",2,12,0
157,"1021.37, 695.50",0,0,0
158,"1034.30, 753.06",0,0,0
159,"1034.94, 1786.03",1,1,0
160,"1050.97, 1559.47",2,3,0
161,"1051.68, 721.82",0,0,0
162,"1057.58, 1908.26",1,2,0
163,"1064.77, 1403.08",2,2,0
164,"1072.98, 2702.30",3,2,0
165,"1076.48, 2286.06",1,2,0
166,"1078.42, 1695.14",1,3,1
167,"1069.64, 1961.78",0,6,1
168,"1079.69, 2417.54",3,2,0
169,"1117.17, 1448.29",6,7,0
170,"1092.60, 710.59",2,2,0
171,"1101.02, 3276.92",1,2,0
172,"1104.87, 3181.13",2,2,0
173,"1106.29, 320.20",0,4,0
174,"1107.84, 1985.36",1,3,1
175,"1139.20, 1856.50",1,2,0
176,"1168.56, 497.87",2,2,0
177,"1129.15, 1530.98",3,11,0
178,"1145.49, 2990.20",1,2,0
179,"1166.00, 1411.68",2,1,0
181,"1176.87, 3607.15",2,2,0
182,"1185.43, 2252.23",1,2,0
183,"1195.44, 1570.48",1,2,0
