label,cell position,ch1,ch2,ch1+ch2
4,"16.10, 503.79",1,3,3
5,"17.22, 749.46",0,2,1
6,"36.95, 887.45",3,4,1
7,"43.81, 1121.48",0,1,0
8,"46.05, 1298.19",2,5,2
9,"13.39, 1430.22",1,2,2
11,"44.72, 1776.12",1,3,2
12,"9.96, 1888.43",0,1,0
13,"19.96, 2664.44",1,1,1
14,"34.36, 2745.38",3,3,1
17,"24.78, 3208.50",1,3,3
18,"29.81, 3492.68",2,2,1
20,"30.00, 22.04",1,0,0
21,"59.40, 3105.80",1,3,2
22,"68.04, 354.87",1,3,3
23,"57.18, 2885.76",1,2,2
24,"69.07, 1630.06",2,3,2
25,"72.27, 2983.26",1,3,2
26,"67.63, 686.31",2,3,3
27,"77.40, 2289.87",3,5,2
28,"65.12, 738.74",1,1,0
29,"80.16, 38.57",1,3,2
30,"102.52, 538.71",2,5,1
31,"88.76, 1402.63",1,1,2
32,"92.45, 820.60",3,2,1
33,"92.30, 3156.77",2,2,2
34,"112.55, 3797.47",1,2,2
35,"105.72, 1537.39",4,2,1
36,"109.00, 4057.10",2,2,1
37,"112.62, 2858.50",2,3,1
38,"129.20, 1712.11",1,5,2
39,"122.60, 2777.51",1,3,2
40,"133.18, 3207.77",1,4,2
41,"146.33, 3055.20",3,2,1
42,"142.97, 265.91",3,4,2
43,"135.25, 2597.42",1,4,2
44,"139.69, 932.30",6,5,2
45,"134.77, 1281.09",2,4,2
46,"163.09, 748.65",0,3,3
47,"166.80, 2892.15",1,4,2
48,"184.34, 3370.53",1,4,2
49,"190.57, 2958.72",1,1,2
50,"187.05, 3298.50",1,4,2
51,"201.98, 3454.72",1,2,1
52,"207.61, 1088.82",1,2,2
53,"196.62, 1323.58",2,4,2
54,"203.40, 592.10",1,3,2
55,"201.11, 1463.03",1,4,3
56,"204.64, 444.16",2,1,0
57,"214.73, 2651.52",2,3,2
58,"221.32, 2579.51",2,3,1
59,"216.92, 3720.27",2,2,2
60,"224.21, 168.16",2,3,1
61,"220.24, 3219.72",2,3,2
62,"229.85, 3137.69",1,4,1
63,"230.28, 2505.69",2,2,2
64,"238.79, 352.06",1,4,2
65,"224.76, 669.96",1,2,2
66,"236.75, 954.60",1,5,1
67,"239.97, 2270.09",1,2,0
68,"248.03, 2848.98",1,1,1
69,"240.95, 1776.69",2,3,1
70,"261.01, 3534.37",1,2,3
71,"249.64, 869.49",1,5,2
72,"263.66, 1245.41",5,3,1
73,"267.44, 2417.29",1,4,2
74,"262.68, 3614.18",2,4,1
75,"268.42, 2993.28",3,3,0
77,"288.11, 1066.47",1,5,2
78,"293.85, 2597.45",2,4,2
79,"304.21, 3253.38",1,3,2
80,"291.56, 3456.52",1,3,1
81,"304.17, 3139.19",1,3,2
82,"306.95, 3982.80",1,3,2
83,"306.15, 4087.44",0,0,1
84,"294.07, 1743.61",0,1,0
85,"300.58, 1574.70",2,3,1
86,"314.70, 3714.61",2,5,3
87,"317.20, 3027.36",0,4,3
88,"322.13, 962.67",1,4,3
89,"329.57, 1351.80",2,12,2
90,"329.14, 3362.39",1,4,2
91,"338.58, 1900.14",1,4,2
92,"359.39, 2667.70",1,3,2
93,"356.55, 1754.30",2,4,1
94,"366.42, 1475.85",1,8,2
95,"350.82, 2888.29",1,4,2
96,"367.34, 570.58",1,4,3
97,"373.97, 316.28",1,4,2
98,"370.15, 2514.77",0,7,2
99,"377.80, 4042.19",2,3,1
100,"362.18, 3543.73",2,4,2
101,"371.62, 146.28",3,4,0
102,"372.97, 3453.08",2,4,1
103,"373.80, 3011.35",1,3,2
104,"379.09, 3926.41",1,4,2
105,"391.35, 3080.29",1,4,2
106,"388.97, 2389.46",1,5,2
107,"407.89, 727.26",2,3,1
108,"401.63, 1266.18",2,9,1
109,"403.13, 3369.26",3,2,0
110,"407.31, 1968.05",1,4,2
111,"409.68, 3143.62",3,3,0
112,"409.43, 2445.50",0,3,3
113,"411.97, 2722.51",1,2,1
114,"428.18, 415.94",3,2,2
115,"444.99, 3683.03",2,2,2
116,"442.02, 3290.92",2,3,1
117,"452.76, 856.20",0,2,3
118,"438.97, 3797.46",3,4,2
119,"440.31, 2351.99",1,4,3
120,"439.22, 2511.60",0,1,0
121,"450.20, 1575.68",2,3,3
122,"442.92, 3888.93",2,3,0
123,"448.35, 2030.71",1,2,1
124,"455.65, 513.02",2,5,1
125,"462.91, 36.24",1,5,2
126,"501.28, 776.23",2,3,1
127,"488.34, 2591.65",1,4,2
128,"497.69, 630.66",2,3,2
129,"486.60, 1975.83",1,3,3
130,"480.45, 2701.83",1,3,2
131,"487.30, 558.00",3,2,1
132,"498.48, 1327.65",2,2,1
133,"485.47, 1472.20",1,4,1
134,"488.66, 3612.77",1,2,2
135,"501.85, 2482.68",3,3,1
136,"507.95, 1846.81",4,4,0
137,"517.83, 205.93",0,0,0
138,"521.31, 3787.78",4,3,2
139,"516.11, 3045.09",1,4,2
140,"513.81, 116.49",0,3,2
141,"541.07, 872.35",2,5,1
142,"528.68, 1753.37",2,3,1
143,"533.82, 2790.01",1,3,2
144,"528.29, 4041.77",1,4,1
145,"532.44, 1630.48",2,4,2
146,"546.40, 3928.37",1,3,3
147,"539.31, 1541.72",3,3,1
148,"555.37, 2049.82",0,4,3
149,"555.49, 948.15",2,4,0
150,"560.29, 1366.82",2,2,1
151,"561.56, 1129.91",0,5,2
152,"584.06, 1443.72",3,3,1
153,"580.31, 1221.43",3,4,2
154,"596.62, 1946.90",4,3,2
155,"593.43, 2354.67",3,3,1
156,"596.06, 2861.02",2,3,1
157,"606.03, 95.15",2,4,2
158,"593.02, 4043.19",2,3,1
159,"596.57, 2429.86",0,3,2
160,"604.23, 303.51",2,3,2
161,"624.22, 3813.19",1,3,2
162,"610.88, 1604.57",2,2,1
163,"616.16, 3254.64",1,4,2
164,"628.67, 1704.43",0,3,3
165,"625.93, 1538.44",0,5,3
166,"628.27, 3976.64",2,4,1
167,"633.06, 771.23",2,3,2
168,"652.57, 2715.84",1,2,2
169,"645.61, 3906.24",1,3,2
170,"640.33, 2614.66",1,0,1
171,"645.27, 2960.49",1,4,2
172,"644.72, 960.41",2,2,1
173,"645.99, 1189.47",1,2,2
174,"659.83, 4083.88",0,1,0
175,"658.21, 3065.94",1,3,2
176,"669.58, 2005.31",3,3,1
177,"665.56, 620.95",2,3,1
178,"660.52, 2472.48",2,2,2
179,"677.43, 1318.60",2,3,2
180,"679.93, 905.27",3,3,2
181,"681.41, 1881.34",2,4,1
182,"681.76, 1447.99",1,4,2
183,"686.77, 1619.46",2,2,4
184,"690.49, 1053.84",1,4,2
185,"684.93, 2187.80",0,3,2
186,"703.33, 61.86",2,3,2
187,"695.56, 2824.07",2,2,1
188,"704.03, 1539.42",1,4,1
189,"705.72, 3252.30",6,3,1
190,"712.67, 521.31",2,4,2
191,"722.43, 3983.02",2,3,2
192,"718.10, 3899.38",2,3,2
193,"716.23, 3117.60",1,5,2
194,"723.58, 394.07",1,4,2
195,"720.65, 2620.33",0,0,0
196,"752.63, 208.06",2,5,2
197,"746.28, 676.51",4,4,1
198,"734.05, 4034.90",1,2,1
199,"752.52, 1295.81",2,3,2
200,"767.30, 1795.27",2,3,2
201,"767.89, 2873.25",3,2,2
202,"751.70, 1580.34",1,4,3
203,"758.46, 3700.99",1,4,3
204,"761.24, 1947.40",1,2,0
205,"762.44, 3918.97",1,7,2
206,"766.37, 2528.14",2,4,1
207,"779.01, 2691.88",2,3,2
208,"767.00, 4013.55",2,1,0
209,"764.92, 1429.30",2,4,1
210,"776.71, 3030.67",2,3,1
211,"789.39, 340.50",1,2,3
212,"773.83, 4082.88",1,1,1
213,"785.37, 3862.53",1,3,1
214,"808.82, 568.52",2,4,2
215,"791.49, 1603.56",2,3,3
216,"797.37, 3978.93",0,3,2
217,"805.60, 3603.32",2,3,0
218,"800.69, 446.25",1,5,3
219,"812.31, 997.05",1,3,2
220,"805.83, 3186.92",2,4,2
221,"813.45, 2783.29",2,4,1
222,"833.40, 1393.41",1,3,2
223,"832.47, 2158.80",1,3,2
224,"827.51, 69.24",2,5,2
225,"830.47, 1247.48",2,3,2
226,"846.64, 3930.24",1,2,1
227,"848.17, 477.75",2,2,2
228,"859.54, 2990.42",1,3,2
229,"861.13, 1186.03",2,2,2
230,"856.83, 2342.85",1,2,1
231,"855.16, 4008.02",3,3,0
232,"862.86, 1823.39",1,3,3
233,"871.73, 3379.31",1,4,2
234,"861.71, 2616.05",2,3,1
235,"863.86, 1619.64",1,1,1
236,"878.72, 1023.62",1,4,2
238,"894.72, 1952.14",1,2,2
239,"900.63, 338.66",1,4,2
240,"898.71, 262.10",2,3,2
241,"910.89, 2296.20",2,2,2
