cell_id,ch1,ch2,ch1+ch2
15,1.0,1.0,2.0
16,0.0,1.0,2.0
17,1.0,0.0,2.0
18,1.0,0.0,2.0
19,1.0,2.0,2.0
20,1.0,0.0,2.0
21,2.0,1.0,1.0
22,1.0,2.0,1.0
24,2.0,2.0,1.0
25,2.0,2.0,0.0
26,1.0,1.0,1.0
27,2.0,2.0,1.0
28,2.0,2.0,1.0
29,1.0,1.0,1.0
30,3.0,2.0,0.0
31,3.0,1.0,0.0
32,0.0,2.0,2.0
33,2.0,2.0,1.0
34,2.0,2.0,1.0
36,2.0,2.0,1.0
37,2.0,2.0,1.0
38,0.0,2.0,3.0
41,0.0,0.0,3.0
42,1.0,1.0,2.0
44,1.0,1.0,2.0
45,1.0,1.0,2.0
46,1.0,2.0,1.0
47,2.0,2.0,1.0
48,1.0,0.0,2.0
49,1.0,1.0,2.0
50,1.0,1.0,2.0
52,1.0,1.0,3.0
53,2.0,1.0,1.0
55,2.0,1.0,1.0
56,1.0,1.0,2.0
57,1.0,2.0,1.0
58,1.0,3.0,0.0
59,2.0,1.0,1.0
60,1.0,0.0,2.0
61,1.0,3.0,1.0
62,1.0,2.0,0.0
63,2.0,1.0,0.0
64,1.0,1.0,2.0
65,2.0,1.0,1.0
66,1.0,1.0,1.0
67,2.0,2.0,1.0
68,2.0,2.0,1.0
69,0.0,2.0,2.0
73,2.0,2.0,1.0
74,2.0,1.0,1.0
75,0.0,2.0,2.0
76,1.0,2.0,0.0
77,2.0,2.0,1.0
78,0.0,3.0,1.0
83,2.0,2.0,1.0
84,2.0,2.0,1.0
85,1.0,1.0,2.0
86,1.0,2.0,1.0
87,0.0,1.0,2.0
90,0.0,1.0,2.0
91,0.0,2.0,2.0
92,0.0,1.0,2.0
93,1.0,1.0,2.0
94,1.0,1.0,1.0
95,2.0,2.0,1.0
98,2.0,2.0,1.0
99,2.0,2.0,1.0
100,2.0,2.0,1.0
103,3.0,2.0,0.0
104,3.0,2.0,0.0
