label,cell position,ch1,ch2,ch1+ch2
5,"41.78, 4060.10",1,1,0
9,"74.92, 1876.22",2,11,0
10,"107.54, 536.38",1,7,1
11,"140.21, 1396.51",4,8,1
12,"146.10, 891.38",5,3,0
21,"306.66, 332.57",2,2,1
22,"324.98, 1650.30",2,4,1
24,"355.20, 1050.08",1,4,1
25,"385.95, 718.51",3,10,2
27,"449.85, 1226.01",3,3,0
28,"511.00, 1366.59",4,4,1
29,"507.84, 792.38",0,5,1
33,"683.32, 3687.82",3,7,0
36,"743.89, 85.01",3,5,1
37,"788.04, 77.60",0,3,0
39,"901.86, 3921.84",3,5,1
40,"909.04, 2900.69",1,4,1
41,"914.45, 3052.43",5,8,4
42,"928.28, 2969.64",3,6,0
52,"952.14, 3011.59",4,3,2
55,"963.43, 1269.90",0,1,2
67,"975.51, 2988.21",0,2,0
72,"1065.23, 803.21",3,7,2
73,"1048.65, 2951.37",2,5,1
76,"1059.83, 1309.37",0,2,0
80,"1084.36, 1725.59",0,4,1
81,"1096.46, 3044.97",4,3,1
82,"1110.78, 2933.36",4,6,0
91,"1136.12, 1675.04",1,2,0
106,"1207.20, 3431.34",2,5,0
108,"1415.64, 2272.57",2,6,2
109,"1439.57, 1991.73",0,3,1
110,"1449.91, 2049.00",0,1,0
111,"1508.42, 1996.26",0,0,0
112,"1535.74, 2403.36",2,4,0
115,"1546.10, 4082.53",0,0,0
117,"1577.65, 3136.51",0,1,0
118,"1598.80, 2381.05",2,5,2
119,"1595.26, 2967.97",0,0,0
121,"1622.40, 484.51",0,0,0
123,"1632.15, 2937.74",0,0,0
124,"1678.56, 3837.28",6,8,1
126,"1660.73, 402.77",0,0,0
131,"1668.74, 1213.46",1,0,0
132,"1694.65, 3339.84",2,7,1
134,"1684.68, 909.82",1,0,2
136,"1706.94, 537.15",0,0,0
140,"1770.61, 3121.41",1,0,0
141,"1807.99, 3175.04",9,5,3
142,"1824.15, 899.10",2,1,0
153,"1867.15, 996.09",0,1,1
154,"1869.56, 3895.77",0,3,2
155,"1887.07, 3180.33",2,3,1
157,"1896.72, 4053.75",1,6,2
161,"1916.52, 1011.24",0,0,0
163,"1914.32, 3034.17",1,5,1
167,"1968.99, 437.34",0,5,0
168,"1944.27, 3224.41",1,2,1
169,"1959.99, 4052.66",0,1,0
170,"2026.67, 3762.64",2,8,1
171,"2032.21, 1500.14",1,8,1
172,"2032.58, 553.14",3,3,1
173,"2122.09, 1922.12",3,9,1
174,"2267.96, 2064.96",2,4,1
176,"2508.54, 1354.42",1,6,1
177,"2577.36, 2925.85",1,7,2
178,"2583.28, 3132.96",3,5,2
180,"2623.36, 1765.02",1,5,2
181,"2665.36, 1987.38",0,0,0
182,"2655.20, 511.41",0,0,0
183,"2683.13, 2053.97",1,2,1
184,"2669.18, 563.69",1,1,0
185,"2700.18, 3649.94",2,12,2
186,"2703.37, 3192.96",1,0,0
187,"2703.05, 2862.08",1,0,0
190,"2739.62, 2229.86",0,0,0
192,"2771.33, 1390.55",1,4,1
194,"2761.84, 697.11",0,0,0
195,"2768.38, 650.01",0,0,0
196,"2793.02, 1880.97",0,0,0
197,"2830.29, 832.10",1,5,0
198,"2836.49, 3066.35",1,2,0
200,"2840.95, 3156.45",1,0,0
201,"2863.75, 916.21",1,5,1
202,"2899.88, 2037.16",4,8,0
207,"2942.44, 1151.50",2,0,0
208,"2946.55, 840.53",0,0,0
