label,cell position,ch1,ch2,ch1+ch2
4,"11.90, 298.51",0,0,0
5,"60.44, 3402.73",10,5,0
6,"23.59, 3929.25",4,2,1
7,"43.13, 4050.48",4,2,0
8,"28.50, 20.80",1,1,1
9,"75.82, 19.70",0,0,0
10,"110.03, 2220.01",3,4,0
11,"111.41, 4005.64",2,3,0
13,"174.03, 4080.06",0,0,1
14,"166.70, 3746.18",3,5,0
15,"203.90, 2038.62",4,6,0
16,"206.78, 3415.61",5,2,1
17,"198.40, 3100.21",2,1,0
18,"215.73, 1738.93",5,3,0
19,"221.46, 2164.62",7,4,0
20,"226.47, 2627.54",4,2,1
23,"267.85, 2740.06",4,7,0
25,"258.40, 1689.36",2,3,0
32,"281.86, 3097.97",3,4,0
35,"318.64, 3148.61",3,5,0
36,"334.80, 1114.88",5,3,0
37,"329.99, 2732.21",1,0,0
38,"347.52, 3864.97",3,3,0
39,"352.40, 140.38",3,3,0
42,"377.96, 2596.00",0,0,0
43,"399.89, 1508.39",6,4,0
44,"412.72, 3712.37",3,2,0
45,"446.94, 1316.22",3,2,0
46,"423.08, 3149.26",0,7,2
51,"450.55, 2255.70",1,0,0
53,"464.93, 1486.23",2,2,0
55,"481.76, 3937.05",1,4,2
58,"468.24, 2942.02",4,4,1
62,"479.23, 3189.61",4,3,2
64,"485.35, 3022.48",4,2,1
65,"509.04, 3625.33",3,1,0
66,"533.61, 1626.52",0,0,0
67,"522.63, 3107.90",2,5,1
68,"562.13, 1244.70",5,3,0
69,"523.48, 216.66",3,5,0
70,"547.83, 621.60",4,5,0
71,"573.07, 1923.29",0,0,0
72,"571.07, 1710.65",3,5,1
73,"583.52, 299.18",2,3,0
74,"581.21, 3719.25",2,4,0
75,"609.26, 178.66",5,2,0
76,"592.31, 3500.27",6,4,0
77,"610.28, 3159.75",8,6,0
78,"624.96, 3590.96",3,3,1
79,"650.27, 3771.02",1,2,0
80,"644.71, 3251.90",5,8,1
81,"673.51, 3481.21",9,5,2
83,"690.05, 4056.24",4,4,0
84,"710.60, 3331.24",4,2,0
85,"710.44, 3544.14",4,4,0
86,"696.45, 1412.85",2,2,0
87,"701.99, 302.08",3,1,0
88,"703.89, 1603.49",1,4,1
89,"706.22, 488.14",5,3,0
92,"729.20, 3967.07",2,2,0
93,"752.73, 521.02",3,2,0
94,"759.98, 3491.76",3,3,0
95,"770.24, 443.35",1,3,0
96,"764.67, 1702.39",1,4,1
97,"790.83, 2534.08",4,2,0
98,"806.17, 1294.20",5,2,1
99,"828.59, 1913.75",1,3,1
100,"838.57, 1553.42",8,4,1
102,"860.31, 2350.02",5,0,0
103,"877.26, 4045.91",0,4,2
104,"892.97, 1331.75",2,6,1
105,"923.02, 422.73",1,2,1
106,"952.00, 3624.21",9,3,1
107,"958.35, 3217.13",1,6,0
108,"956.42, 1058.85",3,3,0
109,"978.15, 1141.39",3,3,0
111,"978.33, 410.36",3,2,0
113,"1004.85, 1004.83",3,3,0
114,"1030.64, 2957.40",1,5,1
117,"1064.77, 851.87",4,3,0
119,"1075.29, 2562.52",0,0,0
120,"1099.27, 87.87",2,2,0
121,"1129.56, 195.41",5,0,0
122,"1120.98, 3279.24",0,0,0
123,"1140.99, 3932.73",5,3,0
124,"1131.79, 3833.00",2,3,0
125,"1148.14, 3584.61",2,1,0
126,"1170.55, 2664.13",1,3,1
128,"1190.75, 2064.89",1,0,0
129,"1199.91, 179.45",2,2,0
130,"1203.12, 3622.13",2,2,0
131,"1214.78, 3261.67",2,5,2
132,"1242.05, 547.68",2,7,0
135,"1238.41, 2314.07",1,2,1
138,"1274.11, 2825.79",2,1,1
140,"1266.14, 2414.59",5,3,0
143,"1259.78, 3245.33",0,0,0
148,"1296.79, 3964.73",2,4,0
151,"1314.14, 3055.35",5,4,0
158,"1366.82, 668.64",2,3,0
161,"1392.43, 736.33",1,4,1
163,"1450.86, 524.10",2,4,2
164,"1457.90, 1409.43",5,3,3
165,"1473.52, 1592.26",6,1,1
167,"1478.72, 1046.23",5,3,0
169,"1483.67, 952.05",3,5,0
172,"1531.73, 720.23",4,3,0
175,"1541.10, 1150.82",4,5,0
178,"1508.61, 2062.30",2,2,0
184,"1514.78, 2012.17",0,0,0
186,"1562.07, 123.23",3,3,0
190,"1550.44, 1480.58",2,6,1
192,"1555.38, 912.23",1,2,0
199,"1563.26, 2866.58",3,3,0
201,"1586.14, 2260.12",4,4,0
203,"1582.82, 3746.69",2,2,1
204,"1582.94, 963.73",2,2,0
209,"1597.92, 2686.52",12,6,0
213,"1625.87, 1516.59",4,2,0
214,"1625.36, 2755.47",2,6,0
217,"1680.38, 143.47",2,5,0
218,"1707.85, 2944.09",0,2,0
219,"1701.03, 1070.36",4,2,1
221,"1711.76, 2252.28",3,3,0
222,"1720.98, 2142.19",2,5,0
223,"1710.17, 700.38",4,2,0
224,"1725.33, 1271.56",1,0,0
225,"1733.84, 3938.42",3,2,0
230,"1762.26, 2918.57",0,0,0
231,"1823.42, 1228.88",6,3,0
232,"1920.02, 104.59",6,6,1
233,"1891.18, 220.74",6,4,1
236,"1896.63, 764.01",2,0,0
237,"1895.11, 650.54",0,4,0
238,"1899.60, 842.54",2,5,0
239,"1921.55, 1420.28",1,0,0
240,"1948.30, 2158.34",3,4,0
241,"1939.01, 1483.68",1,2,1
243,"1948.78, 2684.06",6,5,0
246,"1998.96, 3418.27",0,2,0
247,"1958.58, 2458.14",5,2,0
251,"2046.48, 1966.51",2,2,1
256,"2058.75, 1290.04",2,3,2
257,"2045.95, 2348.67",4,2,0
262,"2066.27, 1533.71",2,0,0
263,"2083.61, 3901.82",3,6,0
265,"2070.50, 264.97",1,3,0
267,"2077.20, 2337.50",3,1,0
268,"2124.13, 2393.23",3,3,1
272,"2087.04, 3316.46",2,2,0
274,"2139.14, 2845.78",2,0,0
275,"2117.51, 2009.52",2,3,1
276,"2150.85, 372.35",5,7,0
281,"2175.53, 2668.86",3,3,0
282,"2189.65, 1745.96",0,0,0
284,"2191.93, 2254.02",4,3,2
290,"2201.21, 1597.21",4,7,0
294,"2221.58, 2304.03",6,0,0
295,"2231.65, 3705.96",2,2,1
297,"2236.90, 3644.96",2,2,0
299,"2257.45, 3048.27",3,4,0
300,"2244.47, 1652.85",10,2,0
301,"2237.93, 898.45",9,2,0
308,"2259.12, 2694.54",4,1,0
309,"2271.18, 1761.53",2,2,1
311,"2271.48, 611.26",1,0,0
314,"2302.58, 3561.76",0,0,0
319,"2304.83, 1462.55",8,3,0
320,"2321.05, 2306.24",3,0,1
321,"2309.36, 639.45",0,1,0
322,"2339.73, 807.53",23,9,4
323,"2329.03, 1736.31",1,5,0
324,"2340.89, 3811.10",2,2,0
325,"2331.34, 2571.42",9,7,2
326,"2340.39, 2682.74",5,3,0
329,"2342.25, 1377.64",4,0,0
330,"2352.74, 1443.70",1,4,0
338,"2390.12, 2496.65",2,2,1
340,"2388.28, 961.44",8,2,0
342,"2377.00, 3003.68",0,1,0
344,"2391.31, 3592.50",0,2,0
345,"2414.19, 2628.63",3,2,0
346,"2413.16, 3566.88",4,0,0
347,"2438.22, 794.44",5,0,0
358,"2468.30, 1563.82",2,3,0
359,"2482.09, 1103.72",3,3,0
360,"2466.64, 2725.45",2,3,0
361,"2498.60, 2925.69",6,3,0
362,"2480.55, 976.53",0,1,0
365,"2534.37, 2797.86",2,4,0
368,"2550.02, 247.25",0,0,0
369,"2546.19, 1556.11",0,0,0
370,"2546.14, 1766.24",3,0,0
371,"2560.81, 2715.93",2,3,0
