label,cell position,ch1,ch2,ch1+ch2
3,"10.75, 189.69",6,1,0
4,"9.43, 756.14",2,0,0
5,"33.45, 1115.17",6,1,1
7,"19.23, 3057.34",3,1,1
8,"14.36, 3159.28",0,0,0
9,"9.25, 3448.16",0,0,0
12,"80.82, 316.91",7,2,1
13,"110.55, 3172.10",10,2,1
14,"143.44, 1494.56",5,2,1
15,"149.68, 2945.13",8,2,1
16,"185.15, 3439.42",5,2,1
18,"203.34, 213.19",16,3,1
19,"198.80, 2765.81",5,2,1
20,"213.63, 422.51",18,0,0
21,"242.27, 3571.04",13,4,3
22,"226.31, 850.14",2,1,2
23,"246.41, 1719.52",5,2,1
24,"240.16, 41.21",10,1,0
25,"255.31, 770.31",10,1,1
26,"259.63, 2704.31",7,1,1
27,"275.65, 822.81",2,2,0
28,"312.87, 1353.23",6,2,1
29,"316.94, 106.74",3,0,1
30,"324.89, 2462.31",3,1,1
31,"318.05, 28.51",5,0,0
32,"334.17, 490.30",9,1,2
33,"322.13, 179.08",0,0,0
34,"354.95, 857.73",10,1,1
35,"358.40, 2587.53",8,1,1
36,"376.11, 1437.24",6,2,1
37,"410.13, 83.66",4,2,2
38,"421.47, 3928.80",2,2,1
39,"439.03, 4011.74",2,1,1
40,"431.67, 16.61",3,2,2
41,"450.00, 3532.76",10,1,0
42,"446.57, 770.93",4,0,0
43,"447.29, 2578.28",5,2,1
44,"482.26, 1372.51",12,2,3
45,"474.08, 1515.35",9,1,1
46,"487.09, 1274.60",2,1,1
47,"488.51, 53.19",9,1,1
48,"507.07, 3045.60",6,1,1
49,"515.26, 2524.54",2,2,1
50,"579.00, 1282.97",9,0,0
51,"592.46, 1742.04",6,2,0
52,"603.35, 2164.43",3,2,1
53,"644.33, 3120.11",6,2,2
54,"676.75, 4069.77",2,1,1
55,"714.45, 342.97",6,1,1
56,"746.09, 163.28",8,1,1
57,"774.08, 3071.02",6,2,1
58,"784.00, 3612.88",6,2,3
59,"786.82, 4038.28",4,1,1
60,"796.48, 3517.77",4,2,1
