label,cell position,ch1,ch2,ch3,ch1+ch2,ch1+ch3,ch2+ch3,ch1+ch2+ch3
2,"29.03, 152.50",0,2,1,0,0,2,1
3,"20.25, 351.71",1,2,1,1,0,1,0
4,"33.34, 2086.41",1,0,2,1,1,2,2
5,"20.00, 3034.71",0,1,0,0,0,0,0
6,"48.23, 2453.12",0,0,1,0,0,2,2
8,"53.27, 3432.67",3,2,1,2,0,1,0
9,"29.68, 22.96",0,0,0,0,0,0,2
10,"67.70, 2180.89",0,0,2,0,0,1,2
11,"78.22, 370.61",0,1,1,0,0,1,2
12,"88.12, 2863.11",1,0,2,0,0,2,1
13,"100.85, 1297.43",1,0,2,0,0,2,2
14,"104.67, 2015.96",1,0,1,0,0,1,1
15,"141.09, 335.16",1,0,1,0,0,2,1
16,"149.84, 1211.76",3,1,1,1,0,1,1
17,"138.75, 4072.05",1,0,0,0,0,1,0
18,"156.53, 3146.04",3,2,1,0,0,1,0
19,"150.83, 1392.66",0,0,2,0,0,2,2
20,"185.59, 4029.76",2,0,2,0,0,2,0
25,"192.15, 1565.66",2,1,1,0,0,1,0
26,"184.25, 2238.99",2,3,1,0,0,1,0
30,"208.27, 219.12",1,2,0,0,0,3,1
36,"250.04, 4062.20",1,0,2,0,0,2,1
37,"248.46, 20.89",0,0,0,0,0,1,1
38,"260.49, 1100.78",1,2,2,1,0,1,2
39,"266.38, 2512.76",1,0,2,1,0,1,1
40,"275.02, 3785.51",1,0,2,1,0,2,0
41,"274.92, 1800.99",2,2,0,0,0,1,0
42,"287.53, 373.23",0,1,1,0,0,2,2
43,"303.11, 1896.17",1,0,0,1,0,2,1
45,"322.26, 477.18",0,0,2,0,0,2,2
46,"311.06, 2955.18",0,0,0,0,0,2,2
47,"320.66, 27.39",2,0,2,2,0,2,0
48,"302.74, 2104.40",1,1,0,0,0,1,0
49,"327.22, 2350.46",1,2,0,1,0,2,1
50,"329.15, 2468.23",0,0,0,0,0,2,2
51,"331.21, 1263.90",1,1,0,1,0,2,1
53,"329.36, 1623.47",0,0,1,0,0,1,0
56,"372.23, 2732.70",1,0,1,0,0,2,1
57,"370.50, 1837.83",1,2,1,0,0,2,1
58,"382.94, 3776.70",1,0,1,1,0,1,1
59,"389.13, 730.89",0,0,0,0,0,2,2
61,"384.17, 2917.26",0,1,0,0,0,0,1
64,"428.78, 1698.64",2,0,2,0,0,4,1
65,"426.68, 3189.81",2,0,3,1,0,2,0
66,"449.25, 2492.01",3,3,0,1,0,2,0
68,"444.79, 1621.75",1,0,3,1,0,1,1
69,"457.45, 1902.47",1,1,2,0,0,2,2
