label,cell position,ch1
2,"36.62, 75.73",4
3,"32.39, 1267.38",0
5,"38.52, 570.96",2
6,"57.31, 2516.63",3
7,"56.77, 2781.11",2
8,"76.20, 3624.98",2
9,"70.59, 3190.81",3
10,"74.79, 2305.25",2
11,"77.94, 613.23",2
12,"94.61, 3037.06",3
13,"104.08, 2021.14",1
14,"97.80, 3265.28",1
15,"117.12, 738.67",5
16,"112.71, 1139.54",3
17,"116.70, 1435.93",3
18,"134.86, 100.17",0
19,"129.75, 3463.42",3
20,"141.01, 3093.00",4
21,"145.98, 990.66",2
22,"148.39, 533.58",2
23,"154.75, 1250.42",2
24,"169.10, 1759.46",2
25,"168.93, 2094.64",2
26,"172.26, 658.10",3
27,"172.23, 894.29",2
28,"185.59, 3254.37",2
29,"202.75, 2434.24",5
30,"219.38, 183.00",3
31,"207.69, 3115.67",3
32,"243.07, 522.22",5
33,"243.89, 1616.94",3
34,"247.48, 3271.62",3
35,"291.45, 240.19",7
36,"285.14, 3145.13",2
37,"294.72, 1009.74",2
38,"300.42, 1197.75",3
39,"297.11, 3992.71",1
40,"299.97, 3397.44",2
41,"296.32, 709.81",2
42,"322.50, 3878.64",2
43,"310.93, 3509.10",2
44,"324.20, 3335.93",3
45,"339.35, 3024.85",3
46,"334.94, 1373.04",4
47,"334.95, 782.51",4
48,"343.06, 429.92",2
49,"351.91, 3268.75",2
50,"376.17, 60.07",4
51,"361.80, 1052.57",2
52,"386.66, 1597.20",2
53,"393.09, 1317.03",2
54,"396.54, 307.68",2
55,"423.35, 1501.97",3
57,"424.27, 3746.31",2
58,"453.46, 2495.15",2
59,"424.18, 357.19",3
60,"432.21, 3901.69",3
61,"452.21, 2141.08",3
62,"439.76, 1735.67",2
63,"447.16, 2987.10",2
64,"444.61, 3504.94",3
65,"482.78, 835.90",3
66,"484.22, 1234.56",2
67,"486.32, 1173.00",2
68,"497.76, 634.94",2
69,"484.68, 2392.80",0
70,"502.13, 25.26",3
71,"510.37, 409.19",4
72,"523.16, 4027.36",2
73,"520.87, 3509.75",2
74,"539.54, 2245.42",4
75,"534.86, 1415.89",2
76,"552.88, 2812.05",3
78,"592.79, 3223.40",4
80,"586.91, 3002.58",3
81,"591.48, 3678.26",2
82,"600.11, 4068.17",0
83,"636.45, 2228.82",3
84,"643.42, 3558.99",2
85,"655.83, 3399.38",3
87,"664.19, 572.07",2
88,"688.64, 2982.51",4
89,"685.58, 1024.80",4
90,"680.30, 2446.05",3
91,"679.52, 2537.98",1
