cell_id,ch1
cell-0,2.0
cell-1,2.0
cell-2,2.0
cell-3,2.0
cell-4,2.0
cell-5,1.0
cell-6,2.0
cell-7,3.0
cell-8,2.0
cell-9,3.0
cell-10,1.0
cell-11,2.0
cell-12,3.0
cell-13,3.0
cell-14,3.0
cell-15,3.0
cell-16,3.0
cell-17,2.0
cell-18,2.0
cell-19,2.0
cell-20,2.0
cell-21,2.0
cell-22,2.0
cell-23,3.0
cell-24,2.0
cell-25,3.0
cell-26,1.0
cell-27,3.0
cell-28,2.0
cell-29,2.0
cell-30,2.0
cell-31,3.0
cell-32,3.0
cell-33,2.0
cell-34,2.0
cell-35,3.0
cell-36,2.0
cell-37,2.0
cell-38,2.0
cell-39,3.0
cell-40,2.0
cell-41,1.0
cell-42,1.0
cell-43,2.0
cell-44,2.0
cell-45,3.0
cell-46,2.0
cell-47,1.0
cell-48,2.0
cell-49,3.0
cell-50,2.0
cell-51,1.0
cell-52,2.0
cell-53,2.0
cell-54,2.0
cell-55,2.0
cell-56,2.0
cell-57,2.0
cell-58,2.0
cell-59,2.0
cell-60,0.0
cell-61,2.0
cell-62,3.0
cell-63,2.0
cell-64,3.0
cell-65,2.0
cell-66,1.0
cell-67,2.0
cell-68,3.0
cell-69,2.0
cell-70,2.0
cell-71,2.0
cell-72,2.0
cell-73,2.0
cell-74,2.0
cell-75,3.0
cell-76,3.0
cell-77,2.0
cell-78,2.0
cell-79,2.0
cell-80,3.0
cell-81,3.0
cell-82,2.0
cell-83,2.0
cell-84,1.0
cell-85,1.0
cell-86,4.0
cell-87,3.0
cell-88,2.0
cell-89,3.0
cell-90,2.0
cell-91,2.0
cell-92,3.0
cell-93,2.0
cell-94,3.0
cell-95,2.0
cell-96,2.0
cell-97,3.0
cell-98,3.0
cell-99,2.0
cell-100,2.0
cell-101,3.0
cell-102,3.0
cell-103,3.0
cell-104,2.0
cell-105,2.0
cell-106,3.0
cell-107,2.0
cell-108,2.0
cell-109,3.0
cell-110,1.0
cell-111,2.0
cell-112,2.0
cell-113,2.0
cell-114,3.0
cell-115,3.0
cell-116,2.0
cell-117,2.0
cell-118,3.0
