label,cell position,ch1,ch2,ch1+ch2
3,"22.08, 1970.70",2,3,1
6,"39.31, 3540.74",1,1,0
7,"21.58, 3672.32",1,1,1
8,"17.47, 3727.98",0,1,0
15,"61.97, 1445.27",2,2,1
16,"78.63, 4059.99",0,4,0
17,"84.80, 3718.77",1,3,0
18,"122.29, 3489.06",3,1,0
19,"130.14, 3614.14",1,0,0
20,"158.30, 2456.63",5,2,0
21,"152.41, 3920.57",3,1,0
22,"148.60, 3292.03",2,1,0
23,"182.39, 3594.40",3,2,0
24,"200.68, 2859.46",0,3,0
25,"213.33, 337.66",4,3,0
26,"229.30, 1561.26",4,3,0
27,"247.78, 1756.15",2,3,0
28,"244.87, 2781.71",3,2,0
29,"244.47, 3364.53",1,1,0
30,"280.41, 1351.11",5,2,1
31,"263.08, 3858.01",0,0,0
32,"270.16, 3748.99",1,1,0
33,"283.21, 424.58",2,4,0
34,"287.37, 3537.47",2,2,0
35,"310.98, 3462.61",2,4,0
36,"318.53, 1497.40",5,2,0
37,"332.49, 512.91",3,2,0
38,"344.32, 1977.04",0,2,0
39,"332.44, 1927.01",1,4,0
40,"340.88, 2621.44",1,3,2
41,"346.33, 2679.63",0,2,0
42,"375.77, 2343.11",1,3,0
43,"389.18, 2096.99",1,2,1
44,"398.57, 71.47",3,6,0
45,"424.67, 1636.41",5,2,0
46,"421.92, 2675.33",3,2,0
47,"433.50, 3253.40",2,1,0
48,"448.68, 2630.59",1,3,0
49,"452.35, 3970.86",0,3,0
50,"480.55, 3670.72",0,1,0
52,"491.14, 2761.25",2,3,0
53,"504.43, 243.92",0,2,0
54,"505.37, 2304.37",2,2,0
55,"540.86, 1127.98",2,2,0
56,"585.13, 204.01",7,7,0
57,"578.67, 1650.84",3,4,0
58,"638.12, 1807.73",5,2,0
59,"645.70, 3675.28",0,2,0
60,"660.01, 2590.61",0,2,0
61,"702.25, 2629.06",0,3,0
62,"714.07, 1943.74",0,3,0
63,"729.85, 2477.95",1,2,0
64,"736.53, 334.65",4,2,0
65,"756.95, 564.80",2,3,1
66,"793.21, 1046.21",12,5,0
67,"777.06, 746.18",1,3,0
68,"780.80, 1769.56",2,3,0
69,"796.68, 503.92",1,2,1
70,"810.25, 1815.46",0,7,0
71,"800.17, 2487.82",0,0,0
72,"833.08, 2727.78",0,7,0
73,"850.91, 376.36",3,3,1
74,"870.96, 2676.12",0,0,0
75,"895.59, 3258.30",3,4,0
76,"901.63, 2578.53",0,6,0
77,"915.30, 233.03",1,4,0
78,"914.46, 2843.06",0,6,0
79,"916.87, 2360.31",0,3,0
80,"936.22, 2726.54",0,2,0
82,"967.10, 2703.76",0,7,0
83,"977.90, 2546.92",0,21,0
84,"967.04, 2274.27",0,3,0
85,"978.51, 1769.79",6,3,0
