label,cell position,ch1,ch2,ch1+ch2
3,"10.12, 424.74",0,0,0
8,"19.99, 1401.22",0,1,1
9,"51.26, 1829.98",1,1,1
10,"14.97, 2246.03",0,0,1
11,"48.37, 2413.34",1,3,3
12,"26.93, 2782.72",0,2,2
16,"38.54, 1159.26",0,1,0
17,"65.22, 3340.23",0,2,2
18,"70.94, 2504.72",0,2,2
19,"62.18, 879.93",0,1,2
20,"53.66, 1046.66",0,0,0
21,"68.79, 2241.70",0,1,2
22,"79.02, 1347.70",1,2,1
23,"81.19, 2684.27",1,2,1
24,"87.19, 1432.07",0,2,2
25,"84.00, 471.27",0,3,3
26,"102.43, 237.47",1,3,1
27,"95.24, 724.87",2,2,0
29,"106.73, 3187.07",0,0,2
30,"113.82, 1687.62",1,1,2
31,"104.94, 1548.77",1,2,1
32,"107.30, 807.16",1,2,1
33,"130.60, 950.10",1,2,1
36,"136.84, 3371.07",0,2,2
37,"143.31, 364.97",0,1,2
38,"146.06, 624.30",0,2,2
39,"163.24, 1144.11",1,4,2
40,"168.26, 695.35",0,1,2
41,"167.08, 783.13",0,3,4
42,"178.93, 3716.79",0,0,2
43,"172.95, 2653.12",0,2,2
44,"147.84, 442.68",0,0,0
46,"191.90, 3833.49",0,2,2
47,"193.18, 3320.59",1,2,1
48,"203.16, 479.61",0,3,2
49,"207.25, 845.04",0,1,1
50,"248.38, 272.60",0,1,2
51,"224.85, 2118.25",0,2,2
52,"243.31, 1214.65",0,3,2
53,"245.54, 1148.80",1,2,1
56,"267.61, 718.77",2,5,1
57,"271.33, 586.11",0,2,4
58,"272.62, 846.66",0,1,2
59,"280.99, 3189.94",0,1,2
60,"273.57, 3743.10",0,1,2
61,"275.77, 956.29",0,1,2
62,"278.70, 1773.54",0,1,2
63,"301.47, 2678.86",0,1,3
64,"297.04, 3464.40",1,2,1
65,"303.89, 2096.00",1,1,1
67,"285.67, 903.14",1,2,1
68,"288.38, 3999.25",0,2,2
69,"305.27, 1420.69",0,2,2
70,"313.71, 1644.64",0,2,2
71,"317.46, 1716.99",0,2,2
72,"322.77, 776.51",2,3,2
74,"310.50, 1131.52",0,1,0
75,"338.51, 3580.20",0,2,2
76,"341.09, 931.47",0,2,2
77,"325.44, 693.92",1,4,2
78,"352.71, 1782.48",1,2,1
79,"373.97, 1294.09",0,2,2
80,"357.84, 869.55",0,0,0
81,"409.52, 320.06",0,2,2
82,"400.97, 3393.52",0,3,2
83,"410.92, 909.10",0,2,2
84,"406.62, 3469.38",0,2,2
85,"417.73, 3556.24",2,2,0
86,"428.24, 1653.56",0,2,2
87,"456.71, 3617.80",0,1,2
88,"468.66, 977.40",0,1,4
89,"455.43, 190.97",0,2,2
90,"455.78, 1847.72",0,0,1
91,"469.40, 1378.05",3,7,2
92,"476.46, 3490.89",0,2,2
93,"472.98, 1109.30",0,1,3
94,"460.19, 4068.65",0,0,0
95,"479.47, 1943.68",0,2,2
96,"477.65, 2416.57",0,2,2
97,"485.35, 1540.94",1,2,1
98,"487.67, 2213.04",1,2,1
99,"492.73, 2504.53",0,1,2
100,"497.11, 1242.39",1,2,1
101,"511.60, 2727.50",0,1,2
102,"509.45, 3330.56",0,2,2
104,"530.99, 865.14",1,2,2
105,"534.61, 4048.87",0,0,0
107,"542.73, 3391.81",0,1,2
108,"565.04, 3191.00",0,2,2
109,"565.15, 3104.65",0,2,2
110,"557.97, 977.55",0,4,3
112,"561.98, 505.16",2,2,0
113,"593.16, 1165.62",0,0,0
114,"614.05, 1005.71",0,2,2
115,"618.99, 1369.56",0,4,2
116,"653.86, 2539.44",1,3,1
117,"652.30, 1567.15",0,2,3
118,"670.98, 2012.55",4,4,1
119,"671.25, 1121.73",1,3,3
120,"677.87, 1329.60",0,1,2
121,"681.89, 1034.68",0,2,3
123,"709.35, 3666.48",1,1,2
124,"729.46, 3292.45",1,0,2
125,"750.01, 292.05",0,1,2
126,"755.14, 3439.22",1,2,1
127,"750.24, 738.95",0,2,2
128,"753.02, 3593.65",0,2,2
130,"802.60, 1555.41",0,3,2
131,"843.08, 3358.74",1,2,1
132,"826.58, 1154.32",3,6,4
133,"829.99, 1351.72",1,2,2
134,"836.14, 1419.23",2,2,1
135,"826.44, 1290.33",0,2,3
137,"847.00, 3164.89",1,1,1
138,"851.51, 430.51",0,2,2
139,"848.96, 1636.38",0,0,2
140,"863.03, 3444.55",0,1,2
141,"877.88, 53.24",0,1,2
142,"887.94, 215.12",0,1,2
143,"871.14, 1210.27",1,2,1
144,"906.05, 273.10",1,3,2
145,"903.64, 3523.33",0,2,3
146,"902.55, 1976.78",1,3,2
147,"907.26, 1254.00",0,4,2
148,"922.81, 497.06",0,1,1
149,"916.69, 962.89",2,2,2
150,"924.95, 1901.11",0,1,2
152,"961.48, 671.84",0,2,2
153,"968.98, 3477.11",0,2,2
154,"999.15, 1908.70",0,1,2
155,"976.48, 997.79",0,4,2
156,"1009.58, 4073.02",1,2,1
157,"998.11, 286.87",0,2,2
158,"1027.66, 534.16",2,2,1
159,"1019.89, 3396.57",0,2,2
160,"1032.58, 1064.08",1,1,2
161,"1035.95, 202.79",0,2,2
162,"1038.45, 3137.73",0,3,2
163,"1052.36, 127.78",0,2,2
164,"1064.52, 1161.35",0,2,2
165,"1075.73, 2391.29",0,2,2
166,"1092.39, 632.22",1,3,3
167,"1097.36, 893.17",0,3,2
168,"1073.09, 1105.34",0,0,0
169,"1095.05, 3268.94",1,2,0
170,"1100.89, 805.91",1,2,1
171,"1113.06, 989.51",0,1,3
172,"1119.31, 1329.19",0,3,2
173,"1128.35, 1940.05",0,1,2
174,"1150.01, 2326.84",0,3,3
176,"1172.51, 352.94",1,2,2
177,"1148.24, 1465.98",0,2,1
178,"1173.53, 1129.23",3,4,2
179,"1174.40, 829.84",1,0,2
180,"1177.95, 2404.36",0,5,4
184,"1169.14, 627.21",0,1,2
185,"1183.58, 1511.82",0,0,3
187,"1222.47, 899.33",0,3,3
188,"1215.38, 4046.78",0,1,2
189,"1225.36, 694.10",1,4,2
190,"1244.88, 2637.29",2,2,1
192,"1261.70, 1097.95",1,1,0
193,"1250.47, 1390.95",0,1,2
194,"1272.66, 2416.20",0,2,2
195,"1274.68, 3703.39",0,3,1
196,"1269.43, 971.09",1,2,1
198,"1283.94, 4067.28",1,2,0
199,"1256.13, 3972.27",1,0,0
200,"1284.78, 342.14",0,2,2
202,"1299.10, 1733.54",1,1,1
207,"1294.56, 3450.79",1,0,0
208,"1323.30, 2249.29",0,1,2
209,"1312.42, 10.32",0,0,0
210,"1316.06, 4003.21",0,3,3
211,"1335.47, 3272.72",0,0,0
212,"1362.13, 3425.66",0,0,0
213,"1351.85, 4072.60",0,2,2
214,"1366.91, 382.89",1,2,1
216,"1381.86, 1809.42",0,3,2
217,"1444.78, 37.28",5,9,3
218,"1385.39, 4017.00",0,3,2
219,"1394.49, 2311.23",0,2,2
220,"1410.29, 3007.92",0,1,3
221,"1417.83, 3313.89",0,3,2
222,"1414.07, 634.78",1,2,1
223,"1426.82, 3078.68",0,1,5
224,"1449.24, 1972.05",1,2,1
226,"1479.50, 2288.14",0,2,4
227,"1481.86, 429.19",0,2,2
228,"1469.37, 3921.91",0,2,2
230,"1493.60, 3147.89",2,3,0
231,"1497.59, 3821.77",1,7,2
232,"1515.54, 3207.80",1,4,0
233,"1507.99, 2931.65",1,1,2
235,"1527.05, 1870.17",1,2,3
236,"1514.05, 3435.50",0,0,0
238,"1538.30, 527.76",0,2,2
242,"1549.13, 3872.70",0,0,0
244,"1546.99, 777.16",0,2,2
245,"1542.84, 3002.49",0,2,2
246,"1562.84, 719.18",1,5,1
248,"1565.42, 1404.48",4,7,4
251,"1569.79, 2640.04",0,1,2
253,"1582.99, 1698.74",0,2,3
254,"1594.59, 333.87",2,1,2
259,"1603.51, 3769.54",1,2,0
261,"1614.94, 2302.82",0,3,2
262,"1636.27, 2171.20",0,2,2
263,"1647.84, 850.23",2,2,1
264,"1608.37, 1364.01",0,0,0
