cell_id,ch1+ch2,ch1,ch2
11,2.0,0.0,0.0
12,2.0,0.0,0.0
13,2.0,0.0,0.0
14,2.0,0.0,0.0
15,2.0,0.0,0.0
17,2.0,0.0,0.0
18,1.0,1.0,1.0
19,2.0,0.0,0.0
20,2.0,0.0,0.0
21,2.0,0.0,1.0
22,1.0,1.0,0.0
23,2.0,0.0,0.0
24,2.0,0.0,0.0
25,2.0,0.0,0.0
26,1.0,1.0,1.0
27,2.0,0.0,0.0
28,2.0,0.0,0.0
29,2.0,0.0,0.0
30,2.0,0.0,0.0
33,2.0,0.0,0.0
34,2.0,0.0,0.0
35,2.0,0.0,0.0
36,2.0,0.0,0.0
37,2.0,0.0,0.0
38,2.0,0.0,0.0
40,2.0,0.0,0.0
46,2.0,0.0,0.0
48,2.0,0.0,0.0
53,1.0,0.0,2.0
55,2.0,0.0,0.0
56,2.0,0.0,0.0
57,2.0,0.0,0.0
58,2.0,0.0,0.0
60,2.0,0.0,0.0
61,2.0,0.0,0.0
62,2.0,0.0,0.0
63,2.0,0.0,0.0
67,2.0,0.0,0.0
71,2.0,0.0,0.0
72,2.0,0.0,0.0
74,2.0,0.0,0.0
76,2.0,0.0,0.0
77,3.0,1.0,0.0
81,1.0,3.0,0.0
82,2.0,0.0,0.0
83,1.0,1.0,0.0
85,2.0,0.0,0.0
87,2.0,0.0,0.0
88,1.0,1.0,1.0
89,2.0,0.0,0.0
90,2.0,0.0,0.0
91,2.0,0.0,0.0
92,2.0,0.0,0.0
93,2.0,0.0,0.0
95,2.0,0.0,0.0
96,2.0,0.0,0.0
97,2.0,1.0,0.0
98,2.0,0.0,0.0
99,2.0,0.0,0.0
100,1.0,1.0,1.0
101,1.0,1.0,1.0
102,2.0,0.0,0.0
103,2.0,0.0,0.0
104,2.0,0.0,0.0
105,2.0,0.0,0.0
108,2.0,0.0,0.0
109,2.0,0.0,0.0
110,2.0,0.0,0.0
112,2.0,0.0,0.0
113,1.0,1.0,0.0
117,2.0,0.0,0.0
118,2.0,0.0,1.0
119,2.0,0.0,0.0
120,2.0,0.0,1.0
121,2.0,0.0,2.0
123,2.0,0.0,0.0
124,2.0,0.0,1.0
125,2.0,0.0,0.0
126,2.0,0.0,0.0
127,2.0,0.0,0.0
128,2.0,0.0,0.0
129,2.0,0.0,0.0
130,1.0,1.0,1.0
131,1.0,1.0,1.0
132,2.0,0.0,0.0
133,1.0,1.0,1.0
134,3.0,0.0,0.0
135,2.0,0.0,0.0
136,2.0,0.0,0.0
138,2.0,0.0,0.0
139,2.0,0.0,2.0
140,2.0,0.0,0.0
141,2.0,0.0,0.0
142,2.0,1.0,0.0
143,2.0,0.0,0.0
145,2.0,0.0,0.0
146,2.0,1.0,1.0
151,2.0,0.0,0.0
153,2.0,0.0,0.0
154,2.0,0.0,0.0
155,2.0,0.0,0.0
159,2.0,0.0,0.0
160,2.0,0.0,0.0
162,2.0,0.0,0.0
163,2.0,0.0,0.0
164,2.0,0.0,0.0
165,1.0,1.0,0.0
167,2.0,0.0,0.0
169,2.0,0.0,0.0
170,2.0,0.0,0.0
171,2.0,0.0,0.0
172,2.0,0.0,0.0
173,0.0,1.0,2.0
175,2.0,0.0,0.0
176,2.0,0.0,0.0
177,1.0,1.0,1.0
178,2.0,0.0,0.0
179,2.0,0.0,0.0
181,2.0,0.0,0.0
183,2.0,0.0,1.0
184,2.0,0.0,0.0
185,2.0,0.0,0.0
186,2.0,0.0,0.0
188,2.0,1.0,0.0
191,2.0,0.0,0.0
195,2.0,0.0,0.0
197,1.0,0.0,1.0
198,0.0,2.0,2.0
200,1.0,1.0,0.0
201,2.0,0.0,0.0
204,2.0,0.0,0.0
206,1.0,1.0,1.0
208,2.0,0.0,0.0
215,2.0,0.0,0.0
217,2.0,0.0,0.0
219,2.0,0.0,0.0
221,2.0,0.0,0.0
222,2.0,0.0,2.0
223,1.0,1.0,0.0
224,2.0,0.0,0.0
225,2.0,0.0,0.0
226,1.0,1.0,1.0
228,2.0,0.0,0.0
232,2.0,0.0,0.0
238,2.0,0.0,0.0
242,2.0,0.0,0.0
243,2.0,0.0,0.0
247,2.0,0.0,0.0
254,2.0,0.0,0.0
261,2.0,0.0,0.0
262,2.0,0.0,0.0
265,1.0,1.0,1.0
266,1.0,0.0,1.0
268,2.0,0.0,0.0
270,1.0,1.0,1.0
271,2.0,0.0,0.0
272,2.0,0.0,0.0
274,2.0,0.0,0.0
276,1.0,1.0,0.0
277,2.0,0.0,0.0
280,2.0,0.0,0.0
292,2.0,0.0,0.0
294,2.0,0.0,0.0
295,1.0,2.0,0.0
296,2.0,0.0,0.0
309,2.0,0.0,0.0
314,2.0,0.0,0.0
317,2.0,0.0,0.0
318,2.0,0.0,0.0
319,3.0,0.0,0.0
321,1.0,0.0,1.0
322,1.0,1.0,1.0
324,2.0,0.0,0.0
325,2.0,0.0,0.0
326,2.0,0.0,0.0
328,3.0,0.0,0.0
330,2.0,0.0,0.0
331,2.0,0.0,0.0
332,2.0,0.0,0.0
337,1.0,1.0,1.0
338,2.0,0.0,0.0
339,2.0,0.0,0.0
342,2.0,0.0,0.0
344,0.0,2.0,1.0
351,1.0,1.0,0.0
352,2.0,0.0,0.0
356,2.0,0.0,0.0
357,2.0,0.0,0.0
365,2.0,0.0,0.0
370,1.0,1.0,1.0
373,2.0,0.0,0.0
375,2.0,0.0,0.0
378,2.0,0.0,0.0
381,1.0,0.0,1.0
382,2.0,0.0,0.0
383,1.0,1.0,0.0
384,2.0,0.0,0.0
386,2.0,0.0,0.0
387,2.0,0.0,0.0
388,2.0,0.0,0.0
390,1.0,1.0,1.0
391,2.0,0.0,0.0
393,1.0,1.0,1.0
394,2.0,0.0,1.0
396,2.0,0.0,0.0
397,2.0,0.0,0.0
399,2.0,0.0,0.0
400,2.0,0.0,0.0
401,2.0,0.0,0.0
402,2.0,0.0,0.0
403,1.0,1.0,1.0
405,3.0,0.0,0.0
412,2.0,0.0,0.0
413,2.0,0.0,0.0
416,2.0,0.0,0.0
418,2.0,0.0,0.0
419,2.0,0.0,0.0
421,2.0,0.0,0.0
428,2.0,0.0,0.0
430,0.0,0.0,2.0
432,1.0,1.0,1.0
434,2.0,0.0,0.0
435,2.0,0.0,0.0
436,2.0,0.0,0.0
438,2.0,0.0,0.0
439,2.0,0.0,0.0
442,1.0,0.0,1.0
443,2.0,0.0,0.0
444,2.0,0.0,0.0
445,2.0,0.0,0.0
446,2.0,0.0,0.0
447,2.0,0.0,0.0
448,2.0,0.0,0.0
450,2.0,0.0,0.0
451,0.0,2.0,1.0
452,2.0,0.0,0.0
457,1.0,1.0,1.0
459,2.0,0.0,0.0
463,2.0,0.0,0.0
464,1.0,1.0,1.0
465,2.0,0.0,0.0
467,2.0,0.0,0.0
469,2.0,0.0,0.0
470,2.0,0.0,0.0
471,2.0,0.0,2.0
472,2.0,1.0,0.0
473,1.0,0.0,1.0
475,2.0,0.0,0.0
476,2.0,0.0,0.0
477,2.0,0.0,0.0
479,2.0,0.0,0.0
481,2.0,0.0,0.0
484,2.0,0.0,0.0
485,2.0,0.0,0.0
486,1.0,1.0,1.0
491,2.0,0.0,0.0
492,2.0,0.0,0.0
493,3.0,0.0,0.0
495,2.0,0.0,0.0
497,1.0,1.0,1.0
498,3.0,0.0,0.0
499,2.0,0.0,0.0
501,2.0,0.0,0.0
